"","Genus","Species"
"Otu00051","Listeria","innocua/ivanovii/marthii/monocytogenes/phage/seeligeri/welshimeri"
"Otu00052",NA,NA
"Otu00053",NA,"amalonaticus/cloacae/enterica/freundii/intermedia/phage/regensburgei"
"Otu00054",NA,NA
"Otu00055","Staphylococcus","argenteus/aureus/capitis/caprae/devriesei/epidermidis/equorum/haemolyticus/hominis/lugdunensis/pasteuri/petrasii/phage/saccharolyticus/schweitzeri/simiae/warneri"
"Otu00056","Acidovorax","delafieldii/facilis"
"Otu00057",NA,NA
"Otu00058",NA,NA
"Otu00059",NA,"albertii/boydii/coli/dysenteriae/enterica/fergusonii/flexneri/marmotae/sonnei/vulneris"
"Otu00060",NA,NA
"Otu00061",NA,NA
"Otu00062",NA,NA
"Otu00063",NA,"azikeevi/canintestini/canis/dispar/durans/faecalis/faecium/hirae/lactis/mundtii/olivae/pernyi/plantarum/raffinosus/ratti/rivorum/saigonensis/thailandicus/villorum"
"Otu00064",NA,NA
"Otu00065",NA,NA
"Otu00066",NA,NA
"Otu00067",NA,NA
"Otu00068",NA,NA
"Otu00069",NA,NA
"Otu00070",NA,NA
"Otu00071",NA,NA
"Otu00072",NA,NA
"Otu00073",NA,NA
"Otu00074",NA,NA
"Otu00075",NA,NA
"Otu00076",NA,NA
"Otu00077",NA,NA
"Otu00078",NA,NA
"Otu00079","Lactobacillus","delbrueckii/fermentum/ingluviei/oris/parabuchneri/plantarum"
"Otu00080",NA,NA
"Otu00081",NA,NA
"Otu00082",NA,NA
"Otu00083",NA,NA
"Otu00084","Pelomonas","aquatica/puraquae/saccharophila"
"Otu00085",NA,NA
"Otu00086",NA,NA
"Otu00087","Cupriavidus","campinensis/pauculus/plantarum/respiraculi/taiwanensis"
"Otu00088",NA,NA
"Otu00089",NA,NA
"Otu00090",NA,NA
"Otu00091","Nonlabens","sediminis/tegetincola"
"Otu00092",NA,NA
"Otu00093",NA,NA
"Otu00094",NA,NA
"Otu00095",NA,NA
"Otu00096",NA,NA
"Otu00097",NA,NA
"Otu00098",NA,NA
"Otu00099",NA,NA
"Otu00100",NA,NA
"Otu00101",NA,NA
"Otu00102",NA,NA
"Otu00103",NA,NA
"Otu00104","Alcanivorax","gelatiniphagus/marinus/venustensis"
"Otu00105","Arcobacter","cryaerophilus"
"Otu00106",NA,NA
"Otu00107",NA,NA
"Otu00108",NA,NA
"Otu00109","Flavobacterium","aquaticum/cucumis/sasangense"
"Otu00111",NA,NA
"Otu00112",NA,NA
"Otu00113",NA,NA
"Otu00114",NA,NA
"Otu00115",NA,NA
"Otu00116",NA,NA
"Otu00117","Sediminibacterium","goheungense"
"Otu00118","Sulfuricurvum","kujiense"
"Otu00119",NA,NA
"Otu00120",NA,NA
"Otu00121","Thauera","aminoaromatica/phenylacetica/selenatis"
"Otu00122","Novosphingobium","aromaticivorans"
"Otu00123",NA,NA
"Otu00124",NA,NA
"Otu00125",NA,NA
"Otu00126",NA,NA
"Otu00127",NA,NA
"Otu00128",NA,NA
"Otu00129",NA,NA
"Otu00130",NA,NA
"Otu00131",NA,NA
"Otu00132","Brevundimonas","alba/basaltis/denitrificans/subvibrioides"
"Otu00133",NA,NA
"Otu00134",NA,NA
"Otu00135",NA,NA
"Otu00136","Bacteroides","cellulosilyticus/intestinalis/timonensis"
"Otu00137",NA,NA
"Otu00138",NA,NA
"Otu00139",NA,NA
"Otu00140",NA,NA
"Otu00141",NA,NA
"Otu00142",NA,NA
"Otu00143","Hyunsoonleella","pacifica"
"Otu00144",NA,NA
"Otu00145",NA,NA
"Otu00146",NA,NA
"Otu00147","Photobacterium","damselae"
"Otu00148","Hyunsoonleella","rubra"
"Otu00149",NA,NA
"Otu00150","Macellibacteroides","fermentans"
"Otu00151",NA,NA
"Otu00152",NA,NA
"Otu00153",NA,NA
"Otu00154",NA,NA
"Otu00155",NA,NA
"Otu00156",NA,NA
"Otu00157",NA,NA
"Otu00158","Thalassotalea","ganghwensis"
"Otu00159",NA,NA
"Otu00160",NA,NA
"Otu00161",NA,NA
"Otu00162",NA,NA
"Otu00163",NA,NA
"Otu00164",NA,NA
"Otu00165",NA,NA
"Otu00167",NA,NA
"Otu00168",NA,NA
"Otu00169","Alicycliphilus","denitrificans"
"Otu00170","Pseudomonas","aeruginosa/denitrificans/fluorescens/mendocina/otitidis/protegens/putida/tropicalis"
"Otu00171",NA,NA
"Otu00172",NA,NA
"Otu00173",NA,NA
"Otu00174",NA,NA
"Otu00175",NA,NA
"Otu00176","Bacteroides","faecichinchillae/faecis/finegoldii/thetaiotaomicron"
"Otu00177","Hydrogenophaga","atypica/caeni/defluvii/intermedia"
"Otu00178","Terasakiella","brassicae"
"Otu00179",NA,NA
"Otu00180",NA,NA
"Otu00181","Caulobacter","profundus"
"Otu00182",NA,NA
"Otu00183",NA,NA
"Otu00184",NA,NA
"Otu00185",NA,NA
"Otu00186",NA,NA
"Otu00187",NA,NA
"Otu00188",NA,NA
"Otu00189",NA,NA
"Otu00190",NA,NA
"Otu00191",NA,NA
"Otu00193",NA,NA
"Otu00194",NA,NA
"Otu00195",NA,NA
"Otu00196",NA,NA
"Otu00197",NA,NA
"Otu00198",NA,NA
"Otu00199",NA,NA
"Otu00200",NA,NA
"Otu00201",NA,NA
"Otu00202",NA,NA
"Otu00203",NA,NA
"Otu00204",NA,NA
"Otu00205",NA,NA
"Otu00206",NA,NA
"Otu00207",NA,NA
"Otu00209",NA,NA
"Otu00210",NA,NA
"Otu00211",NA,NA
"Otu00212",NA,NA
"Otu00213",NA,NA
"Otu00215",NA,NA
"Otu00216",NA,NA
"Otu00217",NA,NA
"Otu00218",NA,NA
"Otu00219",NA,NA
"Otu00220",NA,NA
"Otu00221",NA,NA
"Otu00222",NA,NA
"Otu00223",NA,NA
"Otu00224",NA,NA
"Otu00225",NA,NA
"Otu00226",NA,NA
"Otu00227",NA,NA
"Otu00228",NA,NA
"Otu00229",NA,NA
"Otu00230",NA,NA
"Otu00231",NA,NA
"Otu00232",NA,NA
"Otu00233",NA,NA
"Otu00234",NA,NA
"Otu00235",NA,NA
"Otu00236",NA,NA
"Otu00237",NA,NA
"Otu00238",NA,NA
"Otu00239",NA,NA
"Otu00240",NA,NA
"Otu00241",NA,NA
"Otu00242",NA,NA
"Otu00243","Cloacibacterium","normanense/rupense"
"Otu00244","Aeromonas","allosaccharophila/aquatica/aquatilis/australiensis/bestiarum/bivalvium/cavernicola/caviae/crassostreae/dhakensis/diversa/encheleia/enterica/enteropelogenes/eucrenophila/finlandiensis/hydrophila/intestinalis/jandaei/lacus/media/molluscorum/piscicola/popoffii/rivipollensis/rivuli/salmonicida/sanarellii/sobria/taiwanensis/tecta/veronii"
"Otu00245",NA,NA
"Otu00246",NA,NA
"Otu00247",NA,NA
"Otu00248",NA,NA
"Otu00249","Thalassotalea","agarivorans/euphylliae/montiporae"
"Otu00250",NA,NA
"Otu00251",NA,NA
"Otu00252",NA,NA
"Otu00254",NA,NA
"Otu00255",NA,NA
"Otu00256",NA,NA
"Otu00257",NA,NA
"Otu00258",NA,NA
"Otu00259",NA,NA
"Otu00260",NA,NA
"Otu00261",NA,NA
"Otu00262",NA,NA
"Otu00263","Phenylobacterium","conjunctum"
"Otu00264",NA,NA
"Otu00265",NA,NA
"Otu00266",NA,NA
"Otu00267",NA,NA
"Otu00268",NA,NA
"Otu00269",NA,NA
"Otu00270",NA,NA
"Otu00271",NA,NA
"Otu00272",NA,NA
"Otu00273",NA,NA
"Otu00274",NA,NA
"Otu00275",NA,NA
"Otu00276",NA,NA
"Otu00277",NA,NA
"Otu00278",NA,NA
"Otu00279",NA,NA
"Otu00280",NA,NA
"Otu00281","Pseudopelagicola","gijangensis"
"Otu00282",NA,NA
"Otu00283",NA,NA
"Otu00284",NA,NA
"Otu00285",NA,NA
"Otu00286",NA,NA
"Otu00287",NA,NA
"Otu00288",NA,NA
"Otu00289",NA,NA
"Otu00290",NA,NA
"Otu00291",NA,NA
"Otu00292",NA,NA
"Otu00293",NA,NA
"Otu00294","Bacteroides","vulgatus"
"Otu00295",NA,NA
"Otu00296",NA,NA
"Otu00297",NA,NA
"Otu00298",NA,NA
"Otu00299",NA,NA
"Otu00300",NA,NA
"Otu00301",NA,NA
"Otu00302",NA,NA
"Otu00303",NA,NA
"Otu00304",NA,NA
"Otu00305",NA,NA
"Otu00306","Faecalibacterium","cf./prausnitzii"
"Otu00307",NA,NA
"Otu00308",NA,NA
"Otu00309",NA,NA
"Otu00310",NA,NA
"Otu00311",NA,NA
"Otu00312","Sulfitobacter","geojensis/noctilucicola/pacificus/porphyrae"
"Otu00313",NA,NA
"Otu00314","Acinetobacter","baumannii/beijerinckii/calcoaceticus/dispersus/gyllenbergii/haemolyticus/junii/oryzae/parvus/tandoii/tjernbergiae"
"Otu00315",NA,NA
"Otu00316",NA,NA
"Otu00317",NA,NA
"Otu00318",NA,NA
"Otu00319",NA,NA
"Otu00320",NA,NA
"Otu00321",NA,NA
"Otu00322",NA,NA
"Otu00323",NA,NA
"Otu00324",NA,NA
"Otu00325",NA,NA
"Otu00326","Psychrobacter","marincola"
"Otu00327",NA,NA
"Otu00328",NA,NA
"Otu00329","Azonexus","hydrophilus"
"Otu00330",NA,NA
"Otu00331",NA,NA
"Otu00332","Dokdonia","diaphoros/donghaensis/eikasta/genika"
"Otu00333",NA,NA
"Otu00334",NA,"alba/atlantica/mediterraneus/phaeodactyli"
"Otu00335","Parabacteroides","gordonii"
"Otu00336",NA,NA
"Otu00337",NA,NA
"Otu00338",NA,NA
"Otu00339","Anaerocella","delicata"
"Otu00340",NA,NA
"Otu00341",NA,NA
"Otu00342",NA,NA
"Otu00343",NA,NA
"Otu00344",NA,NA
"Otu00345",NA,NA
"Otu00346",NA,NA
"Otu00348",NA,NA
"Otu00349","Bacteroides","uniformis"
"Otu00350",NA,NA
"Otu00351",NA,NA
"Otu00352",NA,NA
"Otu00353",NA,NA
"Otu00354",NA,NA
"Otu00356","Enterovibrio","coralii"
"Otu00357",NA,NA
"Otu00358",NA,NA
"Otu00360",NA,NA
"Otu00361",NA,NA
"Otu00362",NA,NA
"Otu00363",NA,NA
"Otu00364",NA,NA
"Otu00365",NA,NA
"Otu00366",NA,NA
"Otu00367",NA,NA
"Otu00368",NA,NA
"Otu00369",NA,NA
"Otu00370",NA,NA
"Otu00371",NA,NA
"Otu00372",NA,NA
"Otu00373",NA,NA
"Otu00374",NA,NA
"Otu00375","Lentilitoribacter","donghaensis"
"Otu00376",NA,NA
"Otu00377",NA,NA
"Otu00378",NA,NA
"Otu00379",NA,NA
"Otu00380",NA,NA
"Otu00381",NA,NA
"Otu00382",NA,NA
"Otu00383",NA,NA
"Otu00384",NA,NA
"Otu00385",NA,NA
"Otu00386",NA,NA
"Otu00387",NA,NA
"Otu00388",NA,NA
"Otu00389",NA,NA
"Otu00390",NA,NA
"Otu00391",NA,NA
"Otu00392",NA,NA
"Otu00393",NA,NA
"Otu00394",NA,NA
"Otu00395",NA,NA
"Otu00396",NA,NA
"Otu00397",NA,NA
"Otu00398",NA,NA
"Otu00399",NA,NA
"Otu00400","Variovorax","paradoxus"
"Otu00402",NA,NA
"Otu00403",NA,NA
"Otu00404",NA,NA
"Otu00405",NA,NA
"Otu00406",NA,NA
"Otu00407",NA,NA
"Otu00408",NA,NA
"Otu00409",NA,NA
"Otu00410",NA,NA
"Otu00411",NA,NA
"Otu00412",NA,NA
"Otu00413",NA,NA
"Otu00414",NA,NA
"Otu00415",NA,NA
"Otu00416",NA,NA
"Otu00417",NA,NA
"Otu00418",NA,NA
"Otu00419",NA,NA
"Otu00420",NA,NA
"Otu00421",NA,NA
"Otu00422",NA,NA
"Otu00423",NA,NA
"Otu00424",NA,NA
"Otu00425",NA,NA
"Otu00426",NA,NA
"Otu00427",NA,NA
"Otu00428",NA,NA
"Otu00429",NA,NA
"Otu00430",NA,NA
"Otu00431",NA,NA
"Otu00432",NA,NA
"Otu00433",NA,NA
"Otu00434",NA,NA
"Otu00435",NA,NA
"Otu00436",NA,NA
"Otu00437",NA,NA
"Otu00438",NA,NA
"Otu00439",NA,NA
"Otu00440",NA,NA
"Otu00441",NA,NA
"Otu00442",NA,NA
"Otu00443",NA,NA
"Otu00444",NA,NA
"Otu00445",NA,NA
"Otu00446","Marinobacter","adhaerens/flavimaris/nanhaiticus/similis"
"Otu00447",NA,NA
"Otu00448",NA,NA
"Otu00449","Sphingomonas","kyeonggiensis/leidyi/pituitosa"
"Otu00450",NA,NA
"Otu00451",NA,NA
"Otu00452",NA,"americanum/arachidis/betae/broomeae/canariense/centrosemae/daqingense/denitrificans/diazoefficiens/elkanii/embrapense/erythrophlei/ferriligni/group/guangxiense/huanghuaihaiense/icense/ingae/iriomotense/japonicum/jicamae/lablabi/liaoningense/lupini/neotropicale/oligotrophicum/ottawaense/pachyrhizi/paxllaeri/retamae/stylosanthis/tropiciagri/valentinum/viridifuturi/yuanmingense"
"Otu00453",NA,NA
"Otu00454",NA,NA
"Otu00455",NA,NA
"Otu00456",NA,NA
"Otu00457",NA,NA
"Otu00458",NA,NA
"Otu00459",NA,NA
"Otu00460",NA,NA
"Otu00461",NA,NA
"Otu00462",NA,NA
"Otu00463",NA,NA
"Otu00464",NA,NA
"Otu00465",NA,NA
"Otu00466","Bacteroides","dorei/stercoris"
"Otu00467",NA,NA
"Otu00468",NA,NA
"Otu00469",NA,NA
"Otu00470",NA,NA
"Otu00471",NA,NA
"Otu00472",NA,NA
"Otu00473",NA,NA
"Otu00474",NA,NA
"Otu00475",NA,NA
"Otu00476",NA,NA
"Otu00477",NA,NA
"Otu00478",NA,NA
"Otu00479",NA,NA
"Otu00480",NA,NA
"Otu00481",NA,NA
"Otu00483",NA,NA
"Otu00484","Ahrensia","kielensis/marina"
"Otu00485",NA,NA
"Otu00486",NA,NA
"Otu00487",NA,NA
"Otu00488",NA,NA
"Otu00489",NA,NA
"Otu00490","Parabacteroides","distasonis"
"Otu00491",NA,NA
"Otu00492",NA,NA
"Otu00493",NA,NA
"Otu00494",NA,NA
"Otu00495",NA,NA
"Otu00496",NA,NA
"Otu00497",NA,NA
"Otu00498",NA,NA
"Otu00499",NA,NA
"Otu00500",NA,NA
"Otu00501","Phenylobacterium","immobile/koreense"
"Otu00502",NA,NA
"Otu00503",NA,NA
"Otu00504","Fusobacterium","ulcerans"
"Otu00505",NA,NA
"Otu00506",NA,NA
"Otu00507",NA,NA
"Otu00508",NA,NA
"Otu00509",NA,NA
"Otu00510",NA,NA
"Otu00511",NA,NA
"Otu00512",NA,NA
"Otu00513",NA,NA
"Otu00514",NA,NA
"Otu00515",NA,NA
"Otu00516",NA,NA
"Otu00517",NA,NA
"Otu00518",NA,NA
"Otu00519",NA,NA
"Otu00520",NA,NA
"Otu00521",NA,NA
"Otu00522","Methyloparacoccus","murrellii"
"Otu00523",NA,NA
"Otu00524",NA,NA
"Otu00525","Polynucleobacter","asymbioticus/cosmopolitanus/necessarius/sinensis/wuianus/yangtzensis"
"Otu00526",NA,NA
"Otu00527",NA,NA
"Otu00528","Bilophila","wadsworthia"
"Otu00529",NA,NA
"Otu00530",NA,NA
"Otu00531",NA,NA
"Otu00532",NA,NA
"Otu00533",NA,NA
"Otu00534",NA,NA
"Otu00535",NA,NA
"Otu00536",NA,NA
"Otu00537","Hungatella","effluvii/hathewayi"
"Otu00538",NA,NA
"Otu00539",NA,NA
"Otu00540",NA,NA
"Otu00541",NA,NA
"Otu00542",NA,NA
"Otu00543",NA,NA
"Otu00544",NA,NA
"Otu00545",NA,NA
"Otu00546",NA,NA
"Otu00547",NA,NA
"Otu00548",NA,NA
"Otu00549",NA,NA
"Otu00550",NA,NA
"Otu00551",NA,NA
"Otu00552",NA,NA
"Otu00554",NA,NA
"Otu00555",NA,NA
"Otu00556",NA,NA
"Otu00557",NA,NA
"Otu00558",NA,NA
"Otu00559",NA,NA
"Otu00560",NA,NA
"Otu00561",NA,NA
"Otu00562",NA,NA
"Otu00563",NA,NA
"Otu00564",NA,NA
"Otu00565",NA,NA
"Otu00566",NA,NA
"Otu00567",NA,NA
"Otu00568","Sphingobium","barthaii/fuliginis/herbicidovorans/mellinum/quisquiliarum"
"Otu00569",NA,NA
"Otu00570","Halomonas","aestuarii/cupida/daqingensis/denitrificans/koreensis/maura/mongoliensis/nitritophilus/organivorans/salina/ventosae"
"Otu00571",NA,NA
"Otu00572",NA,NA
"Otu00573",NA,NA
"Otu00574",NA,NA
"Otu00575","Perspicuibacter","marinus"
"Otu00576",NA,NA
"Otu00577",NA,NA
"Otu00579",NA,NA
"Otu00580",NA,NA
"Otu00581",NA,NA
"Otu00582",NA,NA
"Otu00583",NA,NA
"Otu00584",NA,NA
"Otu00585",NA,NA
"Otu00586",NA,NA
"Otu00587",NA,NA
"Otu00588",NA,NA
"Otu00589",NA,NA
"Otu00590",NA,NA
"Otu00591",NA,NA
"Otu00592",NA,NA
"Otu00593",NA,NA
"Otu00594",NA,NA
"Otu00595","Megasphaera","cf./elsdenii/hominis"
"Otu00596",NA,NA
"Otu00597",NA,NA
"Otu00598","Crocosphaera","watsonii"
"Otu00599",NA,NA
"Otu00600","Roseomonas","ludipueritiae"
"Otu00601",NA,NA
"Otu00602",NA,NA
"Otu00603",NA,NA
"Otu00604",NA,NA
"Otu00605",NA,NA
"Otu00607","Prosthecochloris","vibrioformis"
"Otu00608",NA,NA
"Otu00609",NA,NA
"Otu00610",NA,NA
"Otu00611",NA,NA
"Otu00612",NA,NA
"Otu00613","Bacteroides","graminisolvens"
"Otu00614",NA,NA
"Otu00615","Mesonia","mobilis"
"Otu00616",NA,NA
"Otu00617","Psychrobacter","celer"
"Otu00618",NA,NA
"Otu00619",NA,NA
"Otu00620",NA,NA
"Otu00621","Aquimarina","hainanensis"
"Otu00622",NA,NA
"Otu00623","Caulobacter","crescentus/vibrioides"
"Otu00624",NA,NA
"Otu00625",NA,NA
"Otu00626",NA,NA
"Otu00627",NA,NA
"Otu00628",NA,NA
"Otu00629",NA,NA
"Otu00630",NA,NA
"Otu00631",NA,NA
"Otu00632",NA,NA
"Otu00633",NA,NA
"Otu00634",NA,NA
"Otu00635",NA,NA
"Otu00636",NA,NA
"Otu00637",NA,NA
"Otu00638",NA,NA
"Otu00639","Rivicola","pingtungensis"
"Otu00640",NA,NA
"Otu00641",NA,NA
"Otu00642",NA,NA
"Otu00643",NA,NA
"Otu00644",NA,NA
"Otu00645",NA,NA
"Otu00646",NA,NA
"Otu00647","Acinetobacter","baumannii/junii/seohaensis/soli/towneri/venetianus"
"Otu00648",NA,NA
"Otu00649",NA,NA
"Otu00650",NA,NA
"Otu00651",NA,NA
"Otu00652",NA,NA
"Otu00653",NA,NA
"Otu00654",NA,NA
"Otu00655",NA,NA
"Otu00656",NA,NA
"Otu00657",NA,NA
"Otu00658",NA,NA
"Otu00659",NA,NA
"Otu00660",NA,NA
"Otu00662",NA,NA
"Otu00663",NA,NA
"Otu00664",NA,NA
"Otu00665",NA,NA
"Otu00666",NA,NA
"Otu00667",NA,NA
"Otu00668",NA,NA
"Otu00669",NA,NA
"Otu00670",NA,NA
"Otu00671",NA,NA
"Otu00672",NA,NA
"Otu00674",NA,NA
"Otu00675",NA,NA
"Otu00676",NA,NA
"Otu00677",NA,NA
"Otu00678",NA,NA
"Otu00679",NA,NA
"Otu00680",NA,NA
"Otu00681",NA,NA
"Otu00682",NA,NA
"Otu00683",NA,NA
"Otu00684",NA,NA
"Otu00685",NA,NA
"Otu00686",NA,NA
"Otu00687",NA,NA
"Otu00688",NA,NA
"Otu00689",NA,NA
"Otu00690",NA,NA
"Otu00691",NA,NA
"Otu00692",NA,NA
"Otu00693",NA,NA
"Otu00694",NA,NA
"Otu00695",NA,NA
"Otu00696",NA,NA
"Otu00697",NA,NA
"Otu00698",NA,NA
"Otu00699",NA,NA
"Otu00700",NA,NA
"Otu00701",NA,NA
"Otu00702",NA,NA
"Otu00704",NA,NA
"Otu00705",NA,NA
"Otu00706",NA,NA
"Otu00707","Gilvibacter","sediminis"
"Otu00708",NA,NA
"Otu00709",NA,NA
"Otu00710",NA,NA
"Otu00711",NA,NA
"Otu00712","Erysipelatoclostridium","ramosum"
"Otu00713",NA,NA
"Otu00714","Akkermansia","muciniphila"
"Otu00715","Methylobacterium","brachiatum/fujisawaense/gregans/hispanicum/longum/mesophilicum/oryzae/phyllosphaerae/phyllostachyos/radiotolerans/tardum"
"Otu00716",NA,NA
"Otu00717",NA,NA
"Otu00718",NA,NA
"Otu00719",NA,NA
"Otu00720",NA,NA
"Otu00721",NA,NA
"Otu00722",NA,NA
"Otu00723","Blautia","obeum/provencensis/wexlerae"
"Otu00724",NA,NA
"Otu00725",NA,NA
"Otu00726",NA,NA
"Otu00727",NA,NA
"Otu00728",NA,NA
"Otu00729",NA,NA
"Otu00730",NA,NA
"Otu00731",NA,NA
"Otu00732",NA,NA
"Otu00733",NA,NA
"Otu00734",NA,NA
"Otu00735",NA,NA
"Otu00736",NA,NA
"Otu00737",NA,NA
"Otu00738",NA,NA
"Otu00739",NA,NA
"Otu00740",NA,NA
"Otu00741",NA,NA
"Otu00742",NA,NA
"Otu00743",NA,NA
"Otu00744",NA,NA
"Otu00745",NA,NA
"Otu00746",NA,NA
"Otu00747",NA,NA
"Otu00748",NA,NA
"Otu00749",NA,NA
"Otu00750",NA,NA
"Otu00751",NA,NA
"Otu00752",NA,NA
"Otu00753",NA,NA
"Otu00754",NA,NA
"Otu00755",NA,NA
"Otu00756",NA,NA
"Otu00757",NA,NA
"Otu00758",NA,NA
"Otu00759",NA,NA
"Otu00760",NA,NA
"Otu00761",NA,NA
"Otu00762",NA,NA
"Otu00763",NA,NA
"Otu00764",NA,NA
"Otu00765",NA,NA
"Otu00766",NA,NA
"Otu00767",NA,NA
"Otu00768",NA,NA
"Otu00769",NA,NA
"Otu00770",NA,NA
"Otu00771",NA,NA
"Otu00772",NA,NA
"Otu00773",NA,NA
"Otu00774",NA,NA
"Otu00775",NA,NA
"Otu00776",NA,NA
"Otu00777",NA,NA
"Otu00778",NA,NA
"Otu00779",NA,NA
"Otu00780",NA,NA
"Otu00781",NA,NA
"Otu00782",NA,NA
"Otu00783",NA,NA
"Otu00784",NA,NA
"Otu00785",NA,NA
"Otu00786",NA,NA
"Otu00787",NA,NA
"Otu00788",NA,NA
"Otu00789",NA,NA
"Otu00790",NA,NA
"Otu00791",NA,NA
"Otu00792","Roseomonas","lacus"
"Otu00793",NA,NA
"Otu00794",NA,NA
"Otu00795",NA,NA
"Otu00796",NA,NA
"Otu00797",NA,NA
"Otu00798",NA,NA
"Otu00799",NA,NA
"Otu00800",NA,NA
"Otu00801",NA,NA
"Otu00802",NA,NA
"Otu00803",NA,NA
"Otu00804","Arcobacter","bivalviorum"
"Otu00805",NA,NA
"Otu00806",NA,NA
"Otu00807","Idiomarina","baltica/fontislapidosi"
"Otu00808",NA,NA
"Otu00809",NA,NA
"Otu00810",NA,NA
"Otu00811",NA,NA
"Otu00812",NA,NA
"Otu00813",NA,NA
"Otu00814",NA,NA
"Otu00815",NA,NA
"Otu00816",NA,NA
"Otu00817",NA,NA
"Otu00819","Romboutsia","ilealis/timonensis"
"Otu00820",NA,NA
"Otu00821",NA,NA
"Otu00822",NA,NA
"Otu00823",NA,NA
"Otu00824",NA,NA
"Otu00825",NA,NA
"Otu00826",NA,NA
"Otu00827",NA,NA
"Otu00828","Enhydrobacter","aerosaccus"
"Otu00829",NA,NA
"Otu00830",NA,NA
"Otu00831",NA,NA
"Otu00832",NA,NA
"Otu00833",NA,NA
"Otu00834",NA,NA
"Otu00835",NA,NA
"Otu00836",NA,NA
"Otu00837",NA,NA
"Otu00838",NA,NA
"Otu00840",NA,NA
"Otu00841",NA,NA
"Otu00842",NA,NA
"Otu00843",NA,NA
"Otu00844",NA,NA
"Otu00845",NA,NA
"Otu00846",NA,NA
"Otu00847",NA,NA
"Otu00848",NA,NA
"Otu00849",NA,NA
"Otu00850",NA,NA
"Otu00851",NA,NA
"Otu00852",NA,NA
"Otu00853","Parvularcula","oceani"
"Otu00854",NA,NA
"Otu00855",NA,NA
"Otu00856",NA,NA
"Otu00857",NA,NA
"Otu00858",NA,NA
"Otu00859","Streptococcus","equinus/suis"
"Otu00860",NA,NA
"Otu00861","Dialister","invisus"
"Otu00862",NA,NA
"Otu00863",NA,NA
"Otu00864",NA,NA
"Otu00865",NA,NA
"Otu00866",NA,NA
"Otu00867",NA,NA
"Otu00868",NA,NA
"Otu00869",NA,NA
"Otu00870",NA,NA
"Otu00871",NA,NA
"Otu00872",NA,NA
"Otu00873",NA,NA
"Otu00874",NA,NA
"Otu00875",NA,NA
"Otu00876",NA,NA
"Otu00877",NA,NA
"Otu00878",NA,NA
"Otu00879",NA,NA
"Otu00880",NA,NA
"Otu00881",NA,NA
"Otu00882",NA,NA
"Otu00883",NA,NA
"Otu00884",NA,NA
"Otu00885",NA,NA
"Otu00886",NA,NA
"Otu00887","Bifidobacterium","adolescentis/faecale/longum/stercoris"
"Otu00888",NA,NA
"Otu00889",NA,NA
"Otu00890",NA,NA
"Otu00891","Blautia","schinkii"
"Otu00892","Aureispira","maritima"
"Otu00893",NA,NA
"Otu00894",NA,NA
"Otu00895",NA,NA
"Otu00896",NA,NA
"Otu00897",NA,NA
"Otu00898",NA,NA
"Otu00899",NA,NA
"Otu00900",NA,NA
"Otu00901",NA,NA
"Otu00902",NA,NA
"Otu00903",NA,NA
"Otu00904",NA,NA
"Otu00905",NA,NA
"Otu00906",NA,NA
"Otu00907",NA,NA
"Otu00908","Maritalea","porphyrae"
"Otu00909",NA,NA
"Otu00910",NA,NA
